MSE,MSE,MSE,MSE
dataset1_math,DT,RF,SVM
0meI,2.67,1.67,2.98
0meD,2.51,1.45,3.42
0miI,2.54,1.83,11.53
0minD,3.06,1.63,11.35
memeI,2.51,1.47,2.89
memeD,2.72,1.71,2.95
meminI,2.71,1.62,11.84
meminD,2.62,1.77,10.69
medmeI,2.84,1.63,2.89
medmeD,2.97,1.56,3.22
medminI,2.51,1.66,11.05
medminD,2.89,1.67,10.09
times,times,times,times
dataset1_math,DT,RF,SVM
0meI,0.0,0.05,0.02
0meD,0.0,0.05,0.01
0miI,0.0,0.05,0.02
0minD,0.0,0.05,0.01
memeI,0.0,0.05,0.02
memeD,0.0,0.05,0.01
meminI,0.0,0.05,0.02
meminD,0.0,0.05,0.01
medmeI,0.0,0.05,0.02
medmeD,0.0,0.05,0.01
medminI,0.0,0.05,0.02
medminD,0.0,0.05,0.01
