MSE,MSE,MSE,MSE
dataset1_portuguese,DT,RF,SVM
0meI,2.15,1.18,1.15
0meD,2.44,1.28,1.67
0miI,2.24,1.35,5.36
0minD,2.17,1.24,4.75
memeI,2.31,1.18,1.33
memeD,2.33,1.27,1.71
meminI,2.26,1.33,5.42
meminD,2.4,1.32,5.0
medmeI,2.29,1.18,1.26
medmeD,2.19,1.17,1.75
medminI,2.06,1.33,5.21
medminD,2.29,1.26,4.88
times,times,times,times
dataset1_portuguese,DT,RF,SVM
0meI,0.01,0.07,0.05
0meD,0.0,0.06,0.04
0miI,0.01,0.07,0.05
0minD,0.0,0.06,0.04
memeI,0.01,0.07,0.05
memeD,0.0,0.06,0.04
meminI,0.01,0.07,0.05
meminD,0.0,0.06,0.04
medmeI,0.01,0.07,0.05
medmeD,0.01,0.06,0.04
medminI,0.01,0.07,0.05
medminD,0.0,0.06,0.04
