accuracy,accuracy,accuracy,accuracy
dataset3,run_dectreeclas,run_rfclas,run_svmclas
0mean_,0.72,0.78,0.76
0meancategorize_ii_,0.71,0.74,0.65
0min-max_,0.74,0.74,0.74
0min-maxcategorize_ii_,0.73,0.76,0.61
meanmean_,0.72,0.78,0.76
meanmeancategorize_ii_,0.72,0.76,0.65
meanmin-max_,0.73,0.75,0.73
meanmin-maxcategorize_ii_,0.72,0.75,0.61
medianmean_,0.71,0.77,0.76
medianmeancategorize_ii_,0.69,0.74,0.65
medianmin-max_,0.73,0.74,0.74
medianmin-maxcategorize_ii_,0.69,0.76,0.61
recall,recall,recall,recall
dataset3,run_dectreeclas,run_rfclas,run_svmclas
0mean_,0.73,0.78,0.76
0meancategorize_ii_,0.71,0.75,0.65
0min-max_,0.75,0.75,0.74
0min-maxcategorize_ii_,0.72,0.77,0.59
meanmean_,0.73,0.78,0.77
meanmeancategorize_ii_,0.71,0.77,0.64
meanmin-max_,0.74,0.76,0.73
meanmin-maxcategorize_ii_,0.72,0.77,0.59
medianmean_,0.71,0.77,0.76
medianmeancategorize_ii_,0.71,0.75,0.64
medianmin-max_,0.74,0.76,0.74
medianmin-maxcategorize_ii_,0.71,0.77,0.59
precision,precision,precision,precision
dataset3,run_dectreeclas,run_rfclas,run_svmclas
0mean_,0.73,0.79,0.76
0meancategorize_ii_,0.71,0.76,0.67
0min-max_,0.75,0.75,0.76
0min-maxcategorize_ii_,0.74,0.77,0.65
meanmean_,0.74,0.8,0.78
meanmeancategorize_ii_,0.73,0.78,0.68
meanmin-max_,0.74,0.77,0.75
meanmin-maxcategorize_ii_,0.73,0.77,0.66
medianmean_,0.72,0.78,0.77
medianmeancategorize_ii_,0.71,0.75,0.69
medianmin-max_,0.76,0.77,0.75
medianmin-maxcategorize_ii_,0.7,0.77,0.65
false_alarm,false_alarm,false_alarm,false_alarm
dataset3,run_dectreeclas,run_rfclas,run_svmclas
0mean_,0.14,0.12,0.13
0meancategorize_ii_,0.15,0.14,0.19
0min-max_,0.14,0.13,0.14
0min-maxcategorize_ii_,0.15,0.12,0.22
meanmean_,0.15,0.12,0.13
meanmeancategorize_ii_,0.16,0.13,0.19
meanmin-max_,0.15,0.14,0.14
meanmin-maxcategorize_ii_,0.15,0.13,0.22
medianmean_,0.16,0.13,0.13
medianmeancategorize_ii_,0.16,0.14,0.19
medianmin-max_,0.14,0.13,0.14
medianmin-maxcategorize_ii_,0.16,0.13,0.22
times,times,times,times
dataset3,run_dectreeclas,run_rfclas,run_svmclas
0mean_,0.01,0.04,0.02
0meancategorize_ii_,0.0,0.04,0.02
0min-max_,0.01,0.04,0.03
0min-maxcategorize_ii_,0.0,0.04,0.02
meanmean_,0.01,0.04,0.02
meanmeancategorize_ii_,0.0,0.04,0.02
meanmin-max_,0.01,0.04,0.03
meanmin-maxcategorize_ii_,0.0,0.04,0.02
medianmean_,0.01,0.04,0.02
medianmeancategorize_ii_,0.0,0.04,0.02
medianmin-max_,0.01,0.04,0.03
medianmin-maxcategorize_ii_,0.0,0.04,0.02
