,year,semester,timeInterval,teamNumber,semesterId,teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,leadAdminHoursResponseCount,leadAdminHoursTotal,leadAdminHoursAverage,leadAdminHoursStandardDeviation,globalLeadAdminHoursResponseCount,globalLeadAdminHoursTotal,globalLeadAdminHoursAverage,globalLeadAdminHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursAverageByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageLeadAdminHoursResponseCountByWeek,standardDeviationLeadAdminHoursResponseCountByWeek,averageLeadAdminHoursTotalByWeek,standardDeviationLeadAdminHoursTotalByWeek,averageGlobalLeadAdminHoursResponseCountByWeek,standardDeviationGlobalLeadAdminHoursResponseCountByWeek,averageGlobalLeadAdminHoursTotalByWeek,standardDeviationGlobalLeadAdminHoursTotalByWeek,averageGlobalLeadAdminHoursAverageByWeek,standardDeviationGlobalLeadAdminHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,standardDeviationUniqueCommitMessageCountByStudent,averageUniqueCommitMessagePercentByStudent,standardDeviationUniqueCommitMessagePercentByStudent,averageCommitMessageLengthTotalByStudent,standardDeviationCommitMessageLengthTotalByStudent,averageCommitMessageLengthAverageByStudent,standardDeviationCommitMessageLengthAverageByStudent,averageCommitMessageLengthStandardDeviationByStudent,issueCount,onTimeIssueCount,lateIssueCount,processLetterGrade
0,2012,Fall,1,134,1,3,0.0,M,Global,1,2.0,2.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,3,0.75,57,14.25,14.46331566,4.0,0.0,3.0,0.0,0.75,0.0,57.0,0.0,4.0,0.0,3.0,0.0,0.75,0.0,57.0,0.0,14.25,0.0,14.46331566,2,2,0,F
1,2013,Fall,1,167,3,3,0.3333,F,Global,3,9.714286149,3.238095383,3.2998316460000003,6.285714567,2.0952381890000003,1.699673171,4.571428776,1.5238095919999999,0.942809042,1.714285791,0.571428597,0.8164965809999999,8.000000358,2.666666786,3.091206165,1.0,1.142857194,1.142857194,0.0,0.0,6.458002667805555,1.3129355601851853,0.6962333134166668,3.0,0.0,9.714286149,0.0,3.238095383,0.0,6.285714567,0.0,2.0952381890000003,0.0,4.571428776,0.0,1.5238095919999999,0.0,1.714285791,0.0,0.571428597,0.0,8.000000358,0.0,2.666666786,0.0,1.0,0.0,1.142857194,0.0,0.0,0.0,1.418092167990741,0.8142293705092593,1.2930342964907409,0.6699403394907412,1.0,0.0,3.238095383,1.8856181669999998,3.238095383,1.8856181669999998,2.0952381890000003,0.9712418559999999,2.0952381890000003,0.9712418559999999,1.5238095919999999,0.538748048,1.5238095919999999,0.538748048,0.571428597,0.46656949600000003,0.571428597,0.46656949600000003,2.666666786,1.7664036019999998,2.666666786,1.7664036019999998,4,3,0.75,127,31.75,6.533567173,4.0,0.0,3.0,0.0,0.75,0.0,127.0,0.0,4.0,0.0,3.0,0.0,0.75,0.0,127.0,0.0,31.75,0.0,6.533567173,2,2,0,A
2,2013,Fall,1,170,3,4,0.0,M,Global,3,4.000000179,1.333333393,0.471404521,3.428571582,1.142857194,0.0,6.285714567,2.0952381890000003,0.471404521,1.714285791,0.571428597,0.8164965809999999,1.714285791,0.571428597,0.0,1.0,1.142857194,1.142857194,0.0,0.0,6.458002667805555,1.3129355601851853,0.6962333134166668,3.0,0.0,4.000000179,0.0,1.333333393,0.0,3.428571582,0.0,1.142857194,0.0,6.285714567,0.0,2.0952381890000003,0.0,1.714285791,0.0,0.571428597,0.0,1.714285791,0.0,0.571428597,0.0,1.0,0.0,1.142857194,0.0,0.0,0.0,1.418092167990741,0.8142293705092593,1.2930342964907409,0.6699403394907412,1.0,0.0,1.333333393,0.269374024,1.333333393,0.269374024,1.142857194,0.0,1.142857194,0.0,2.0952381890000003,0.269374024,2.0952381890000003,0.269374024,0.571428597,0.46656949600000003,0.571428597,0.46656949600000003,0.571428597,0.0,0.571428597,0.0,7,1,0.1429,0,0.0,0.0,7.0,0.0,1.0,0.0,0.1429,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,F
3,2012,Fall,1,127,1,6,0.0,M,Local,1,2.0,2.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.517158101007975,1.300929644091878,0.5546917288721704,0.0,6.458002667805555,1.3129355601851853,0.6962333134166668,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.6122772654846873,0.7408506784660458,0.0,0.0,1.418092167990741,0.8142293705092593,1.2930342964907409,0.6699403394907412,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2,1.0,45,22.5,4.5,2.0,0.0,2.0,0.0,1.0,0.0,45.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,45.0,0.0,22.5,0.0,4.5,0,0,0,A
4,2012,Fall,1,130,1,6,0.1667,M,Local,3,11.0,3.666666667,1.699673171,5.0,1.6666666669999999,0.471404521,23.0,7.666666667,3.7712361660000004,9.0,3.0,4.242640687,3.0,1.0,0.0,1.0,1.5,1.5,0.0,0.0,6.458002667805555,1.3129355601851853,0.6962333134166668,3.0,0.0,11.0,0.0,3.666666667,0.0,5.0,0.0,1.6666666669999999,0.0,23.0,0.0,7.666666667,0.0,9.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,1.418092167990741,0.8142293705092593,1.2930342964907409,0.6699403394907412,1.0,0.0,3.666666667,1.699673171,3.666666667,1.699673171,1.6666666669999999,0.471404521,1.6666666669999999,0.471404521,7.666666667,3.7712361660000004,7.666666667,3.7712361660000004,3.0,4.242640687,3.0,4.242640687,1.0,0.0,1.0,0.0,1,1,1.0,13,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,13.0,0.0,0.0,0,0,0,A
5,2013,Fall,1,163,3,6,0.1667,M,Local,7,10.28571475,1.469387821,0.677630927,10.28571475,1.469387821,0.677630927,8.571428955,1.224489851,1.245399698,0.857142895,0.122448985,0.524890659,4.285714477,0.612244925,0.5624291339999999,2.0,0.857142895,0.42857144799999997,0.25,0.0,6.458002667805555,1.3129355601851853,0.6962333134166668,7.0,0.0,10.28571475,0.0,1.469387821,0.0,10.28571475,0.0,1.469387821,0.0,8.571428955,0.0,1.224489851,0.0,0.857142895,0.0,0.122448985,0.0,4.285714477,0.0,0.612244925,0.0,2.0,0.0,0.857142895,0.0,0.0,0.0,1.418092167990741,0.8142293705092593,1.2930342964907409,0.6699403394907412,1.1667,0.372677996,1.714285791,0.28571429800000003,1.5238095919999999,0.212958865,1.714285791,0.28571429800000003,1.5238095919999999,0.212958865,1.4285714919999999,0.857142895,1.190476244,0.581264579,0.14285714900000002,0.319438297,0.14285714900000002,0.319438297,0.7142857459999999,0.395553535,0.619047647,0.346671915,4,2,0.5,153,38.25,6.495190527999999,4.0,0.0,2.0,0.0,0.5,0.0,153.0,0.0,4.0,0.0,2.0,0.0,0.5,0.0,153.0,0.0,38.25,0.0,6.495190527999999,0,0,0,A
6,2013,Fall,1,164,3,7,0.1429,M,Local,9,13.71428633,1.5238095919999999,0.8498365859999999,12.00000054,1.333333393,0.971825316,10.00000045,1.111111161,1.1166528470000001,28.57142985,3.174603317,15.01192941,5.142857373,0.571428597,1.154700538,1.0,0.28571429800000003,0.28571429800000003,0.0,0.0,6.458002667805555,1.3129355601851853,0.6962333134166668,9.0,0.0,13.71428633,0.0,1.5238095919999999,0.0,12.00000054,0.0,1.333333393,0.0,10.00000045,0.0,1.111111161,0.0,28.57142985,0.0,3.174603317,0.0,5.142857373,0.0,0.571428597,0.0,1.0,0.0,0.28571429800000003,0.0,0.0,0.0,1.418092167990741,0.8142293705092593,1.2930342964907409,0.6699403394907412,1.2857,0.45175395100000004,1.959183761,0.799833421,1.5510204769999998,0.503217492,1.714285791,0.96589062,1.306122507,0.588661459,1.4285714919999999,1.069045015,1.040816373,0.694477563,4.081632836,9.534610434,4.040816507,9.550148652,0.73469391,0.663186838,0.653061254,0.695077026,11,10,0.9091,291,26.4545,14.79781087,5.5,3.5,5.0,3.0,0.94445,0.05555,145.5,94.5,1.8333,0.8975274679999999,1.8333,0.8975274679999999,1.0,0.0,48.5,43.35416166,20.36111667,15.46993244,2.913941138,0,0,0,A
7,2013,Fall,1,165,3,6,0.1667,M,Local,10,17.14285791,1.714285791,2.408318916,14.28571492,1.4285714919999999,1.565247584,16.00000072,1.6000000719999998,1.6,2.285714388,0.228571439,0.663324958,10.57142904,1.057142904,1.732772345,2.0,1.714285791,0.857142895,0.5,0.0,6.458002667805555,1.3129355601851853,0.6962333134166668,10.0,0.0,17.14285791,0.0,1.714285791,0.0,14.28571492,0.0,1.4285714919999999,0.0,16.00000072,0.0,1.6000000719999998,0.0,2.285714388,0.0,0.228571439,0.0,10.57142904,0.0,1.057142904,0.0,2.0,0.0,1.714285791,0.0,0.0,0.0,1.418092167990741,0.8142293705092593,1.2930342964907409,0.6699403394907412,1.6667,0.471404521,2.857142985,1.475422293,2.0000000890000003,1.502831861,2.380952487,1.162529158,1.5238095919999999,0.7853534879999999,2.666666786,1.463075446,1.619047691,0.7126966770000001,0.38095239799999997,0.538748048,0.19047619899999998,0.269374024,1.761904841,1.074334731,1.119047669,0.585636877,9,8,0.8889,312,34.6667,26.87005769,9.0,0.0,8.0,0.0,0.8889,0.0,312.0,0.0,9.0,0.0,8.0,0.0,0.8889,0.0,312.0,0.0,34.6667,0.0,26.87005769,0,0,0,A
8,2013,Fall,1,166,3,6,0.1667,M,Local,8,9.714286149,1.214285769,0.59947894,6.285714567,0.7857143209999999,0.695970545,8.000000358,1.000000045,0.661437828,4.000000179,0.500000022,1.964529206,4.571428776,0.571428597,0.5,1.0,0.571428597,0.571428597,0.0,0.0,6.458002667805555,1.3129355601851853,0.6962333134166668,8.0,0.0,9.714286149,0.0,1.214285769,0.0,6.285714567,0.0,0.7857143209999999,0.0,8.000000358,0.0,1.000000045,0.0,4.000000179,0.0,0.500000022,0.0,4.571428776,0.0,0.571428597,0.0,1.0,0.0,0.571428597,0.0,0.0,0.0,1.418092167990741,0.8142293705092593,1.2930342964907409,0.6699403394907412,1.3333,0.471404521,1.619047691,0.7678341059999999,1.190476244,0.346671915,1.047619094,0.69334383,0.7619047959999999,0.42591772899999997,1.333333393,0.631738084,1.000000045,0.395553535,0.6666666960000001,1.252661622,0.38095239799999997,0.631738084,0.7619047959999999,0.538748048,0.523809547,0.256436431,3,2,0.6667,112,37.3333,17.91337179,3.0,0.0,2.0,0.0,0.6667,0.0,112.0,0.0,3.0,0.0,2.0,0.0,0.6667,0.0,112.0,0.0,37.3333,0.0,17.91337179,0,0,0,A
9,2013,Fall,1,168,3,4,0.0,M,Global,3,4.571428776,1.5238095919999999,0.471404521,1.714285791,0.571428597,0.0,2.0000000890000003,0.6666666960000001,0.623609564,0.0,0.0,0.0,0.857142895,0.28571429800000003,0.40824829,1.0,0.28571429800000003,0.28571429800000003,0.0,0.0,6.458002667805555,1.3129355601851853,0.6962333134166668,3.0,0.0,4.571428776,0.0,1.5238095919999999,0.0,1.714285791,0.0,0.571428597,0.0,2.0000000890000003,0.0,0.6666666960000001,0.0,0.0,0.0,0.0,0.0,0.857142895,0.0,0.28571429800000003,0.0,1.0,0.0,0.28571429800000003,0.0,0.0,0.0,1.418092167990741,0.8142293705092593,1.2930342964907409,0.6699403394907412,1.0,0.0,1.5238095919999999,0.269374024,1.5238095919999999,0.269374024,0.571428597,0.0,0.571428597,0.0,0.6666666960000001,0.356348338,0.6666666960000001,0.356348338,0.0,0.0,0.0,0.0,0.28571429800000003,0.23328474800000001,0.28571429800000003,0.23328474800000001,1,1,1.0,50,50.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,0.0,50.0,0.0,0.0,0,0,0,F
