school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
1,1,0.42857142857142855,1,1,0,1.0,1.0,3,4,0,2,0.3333333333333333,0.3333333333333333,0.0,0,1,1,1,0,0,1,1,0.75,0.5,0.75,0.0,0.0,0.5,0.125,0.0,0.5789473684210527,8
1,1,0.2857142857142857,1,1,1,0.25,0.25,3,2,0,1,0.0,0.3333333333333333,0.0,1,0,1,1,1,0,0,1,1.0,0.5,0.5,0.0,0.0,0.5,0.0625,0.47368421052631576,0.5789473684210527,8
1,1,0.0,1,0,1,0.25,0.25,3,2,1,2,0.0,0.3333333333333333,0.0,0,1,1,1,0,0,0,1,0.75,0.5,0.25,0.25,0.5,0.5,0.1875,0.631578947368421,0.6842105263157895,9
1,1,0.0,1,1,1,1.0,0.5,1,0,3,2,0.0,0.6666666666666666,0.0,1,0,1,0,0,0,0,0,0.5,0.25,0.25,0.0,0.0,1.0,0.0,0.7368421052631579,0.7368421052631579,11
1,1,0.14285714285714285,1,1,1,0.75,0.75,2,2,3,1,0.0,0.3333333333333333,0.0,1,0,1,1,0,0,1,1,0.75,0.5,0.25,0.0,0.25,1.0,0.0,0.5789473684210527,0.6842105263157895,10
1,0,0.14285714285714285,1,0,1,1.0,0.75,0,2,2,2,0.0,0.3333333333333333,0.0,1,0,1,0,0,0,0,1,1.0,0.75,0.25,0.0,0.25,1.0,0.1875,0.631578947368421,0.631578947368421,10
1,0,0.14285714285714285,1,0,1,0.5,0.5,2,2,3,2,0.0,0.3333333333333333,0.0,1,1,1,1,0,0,0,1,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.6842105263157895,0.631578947368421,10
1,1,0.2857142857142857,1,1,0,1.0,1.0,2,4,3,2,0.3333333333333333,0.3333333333333333,0.0,0,0,1,1,0,0,1,1,0.75,0.0,0.75,0.0,0.0,0.0,0.0625,0.5263157894736842,0.6842105263157895,10
1,0,0.0,1,0,0,0.75,0.5,0,2,3,2,0.0,0.3333333333333333,0.0,1,0,1,1,0,0,0,1,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.7894736842105263,0.8421052631578947,14
1,0,0.0,1,1,1,0.75,1.0,2,2,3,2,0.0,0.3333333333333333,0.0,1,0,1,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.631578947368421,0.631578947368421,10
