Unnamed: 0,year,semester,timeInterval,teamNumber,semesterId,teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,leadAdminHoursResponseCount,leadAdminHoursTotal,leadAdminHoursAverage,leadAdminHoursStandardDeviation,globalLeadAdminHoursResponseCount,globalLeadAdminHoursTotal,globalLeadAdminHoursAverage,globalLeadAdminHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursAverageByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageLeadAdminHoursResponseCountByWeek,standardDeviationLeadAdminHoursResponseCountByWeek,averageLeadAdminHoursTotalByWeek,standardDeviationLeadAdminHoursTotalByWeek,averageGlobalLeadAdminHoursResponseCountByWeek,standardDeviationGlobalLeadAdminHoursResponseCountByWeek,averageGlobalLeadAdminHoursTotalByWeek,standardDeviationGlobalLeadAdminHoursTotalByWeek,averageGlobalLeadAdminHoursAverageByWeek,standardDeviationGlobalLeadAdminHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,standardDeviationUniqueCommitMessageCountByStudent,averageUniqueCommitMessagePercentByStudent,standardDeviationUniqueCommitMessagePercentByStudent,averageCommitMessageLengthTotalByStudent,standardDeviationCommitMessageLengthTotalByStudent,averageCommitMessageLengthAverageByStudent,standardDeviationCommitMessageLengthAverageByStudent,averageCommitMessageLengthStandardDeviationByStudent,issueCount,onTimeIssueCount,lateIssueCount,processLetterGrade
0,2012,0,1,134,1,3,-1.0439872698582826,0,0,1,-1.1488620930228821,-0.4259063209494887,-1.1909346371202416,-1.0963759110770313,0.07479301172818503,-1.197585186282786,-1.0785298342000484,2.2265708066290384,-0.8199155083662086,-1.005102037175095,-1.3718446840558807,-1.303002073412496,-1.0526799094274577,-0.11115706897252248,-1.2794629691495523,-1.1753696633695674,-0.734988673641688,-0.18953428588213048,-0.7382340826495833,0.22075975875375728,0.29914215399073824,2.6871551170967396,-0.19015266685794965,-1.563514093412062,-0.7650780790877028,-1.2316361528290318,-1.066951409149132,-0.4249028153655004,-1.0934644948579026,-1.1642736382579224,-1.033601652078488,0.08670982323940206,-1.0756257206945292,-0.5500870084295948,-0.9439141353805925,2.129637038392618,-0.6246663503953599,-0.9814096295191104,-0.9143335918643113,-1.4019759426389806,-1.1303690883588948,-1.1574343695653184,-1.0432118138545896,-0.1080782675993307,-1.0218058664117071,0.012047373948397161,-0.8621732795822009,-0.31475260060873583,-0.7454804109635604,2.7969036808331498,-0.2886326872480911,2.490408182907029,-0.19702213893384324,2.732480441555174,-0.183095631608041,-1.3304320649263683,-0.8979439644111473,-1.05271412953706,-0.9754687406121721,-0.42948011259628616,-0.9941976381078573,-0.981969222891652,-0.9782027943336853,0.0552760564695781,-0.9790965491760436,-0.5206111798162194,-0.9603659380133908,2.1502480733260536,-0.6948978281059499,-1.0672755139853418,-0.900890872411184,-1.3969598527912923,-1.0269135028149763,-0.8966974753767691,-1.0328743259958761,-0.1250619064968353,-1.1893197898011891,4,3,0.23037780091914675,57,-0.919147906545683,-0.6387689286683725,-0.8858385512541055,-0.9209958794477093,-0.8863743575560041,-0.9551046332753101,0.11742208890535406,-0.9906108020706323,-0.9021549363577469,-0.9484773948521904,-0.7814448587335393,-0.7517985392294512,-0.7784226832860632,-0.7927998517331638,0.15674877639237794,-1.0220648183467507,-0.873497902703094,-0.7430380805575527,-0.9164089401886979,-0.8480055156754752,-0.5370639158236938,2,2,0,0
1,2013,0,1,167,3,3,0.9571715632306508,1,0,3,-1.022268968512404,0.5728462879012978,0.9957425719435904,-1.008606172330433,0.17208732223467382,0.2147872369144735,-1.112758425795094,-0.21422514122072261,-0.4423033886502802,-0.9861143262009452,-1.1192213931261366,-1.0417051021538302,-0.8014780031905128,2.267461683106019,1.7426851911756225,-1.1753696633695674,-0.7172983631982097,-0.054317193008451635,-0.7382340826495833,-0.3221358413234585,-0.2242159723885048,-0.2563786059859133,-0.19015266685794965,-0.8427802487710526,-0.7650780790877028,-0.41251793889106997,-1.066951409149132,0.6071990344198298,-1.0934644948579026,-0.5644485020370549,-1.033601652078488,0.1850267812730316,-1.0756257206945292,-0.7483685858191953,-0.9439141353805925,-0.21522526059506328,-0.6246663503953599,-0.8856374715593429,-0.9143335918643113,-1.1401631975596962,-1.1303690883588948,0.5637623028637367,-1.0432118138545896,2.3150708315300417,-1.0218058664117071,0.012047373948397161,-0.8621732795822009,-0.22251626371053518,-0.7454804109635604,-0.36558000611967023,-0.2886326872480911,-0.25861401718079857,-0.19702213893384324,-0.2563805766795769,-0.183095631608041,-1.3304320649263683,-0.8979439644111473,-0.9471312934667308,-0.5979300772657142,0.5300304172512585,1.1402473339846846,-0.9715466165663398,-0.7202665392027996,0.14956719666205387,0.44942461382825866,-1.05907890324527,-0.8690488202797998,-0.213590099244147,-0.3429519158766824,-1.0329347926400032,-0.8643452059745882,-1.141408199131139,-0.8000666785609452,-0.6011284906363644,-0.5830108859190939,2.206810074013543,1.6241051886410827,4,3,0.23037780091914675,127,-0.3268100379239262,-0.8341219992464195,-0.8858385512541055,-0.9209958794477093,-0.8863743575560041,-0.9551046332753101,0.11742208890535406,-0.9906108020706323,-0.8418803655561815,-0.9484773948521904,-0.7814448587335393,-0.7517985392294512,-0.7784226832860632,-0.7927998517331638,0.15674877639237794,-1.0220648183467507,-0.8139092141975175,-0.7430380805575527,-0.3395486621400045,-0.8480055156754752,-0.8577679440639954,2,2,0,1
2,2013,0,1,170,3,4,-1.0439872698582826,0,0,3,-1.1160416522470438,-0.9636960761794797,-0.8785521785878851,-1.067119330272882,-0.8008548685078287,-1.197585186282786,-1.071684108161122,0.09736584953569093,-0.6311094485082444,-0.9861143262009452,-1.1192213931261366,-1.0417051021538302,-1.0270470604102284,-0.7228018106470047,-1.2794629691495523,-1.1753696633695674,-0.7172983631982097,-0.054317193008451635,-0.7382340826495833,-0.3221358413234585,-0.2242159723885048,-0.2563786059859133,-0.19015266685794965,-0.8427802487710526,-0.7650780790877028,-1.019272164398236,-1.066951409149132,-0.980649850466761,-1.0934644948579026,-0.9643319178334016,-1.033601652078488,-0.7981418751305579,-1.0756257206945292,-0.5104306482312413,-0.9439141353805925,0.08411888063583095,-0.6246663503953599,-0.8856374715593429,-0.9143335918643113,-1.1401631975596962,-1.1303690883588948,-0.9818020461715778,-1.0432118138545896,-0.7311736684409367,-1.0218058664117071,0.012047373948397161,-0.8621732795822009,-0.22251626371053518,-0.7454804109635604,-0.36558000611967023,-0.2886326872480911,-0.25861401718079857,-0.19702213893384324,-0.2563805766795769,-0.183095631608041,-1.3304320649263683,-0.8979439644111473,-1.109566414140437,-0.9215346458197896,-0.9461395219579919,-0.6892769276472142,-1.075772581873116,-0.9782027943336853,-0.7933433191625837,-0.9790965491760436,-0.9903383386841822,-0.9147073791465953,0.08817649407876026,-0.5189248719913161,-1.0329347926400032,-0.8643452059745882,-1.141408199131139,-0.8000666785609452,-0.9727009186190112,-1.0328743259958761,-0.7246860513459793,-1.1893197898011891,7,1,-1.6035694917902545,0,-1.4014801709948277,-0.9950794887766269,-0.7345472736441875,-0.9209958794477093,-1.0102245317360075,-0.9551046332753101,-1.712932779094021,-0.9906108020706323,-0.9512356582961644,-0.9484773948521904,-0.6491986688769343,-0.7517985392294512,-0.8883287715190911,-0.7927998517331638,-1.686025200643732,-1.0220648183467507,-0.9220201204862063,-0.7430380805575527,-1.386138023742634,-0.8480055156754752,-1.1220059983471538,1,1,0,0
3,2012,0,1,127,1,6,-1.0439872698582826,0,1,1,-1.1488620930228821,-0.4259063209494887,-1.1909346371202416,-1.116855515440426,-0.9467962428353233,-1.197585186282786,-1.1863499131642765,-0.227208135771109,-0.8199155083662086,-1.005102037175095,-1.3718446840558807,-1.303002073412496,-1.0526799094274577,-0.11115706897252248,-1.2794629691495523,-1.4737947744060078,-0.8588208024141334,-1.1360535971439685,-0.7382340826495833,-0.3221358413234585,-0.2242159723885048,-0.2563786059859133,-0.19015266685794965,-1.563514093412062,-0.7650780790877028,-1.2316361528290318,-1.066951409149132,-0.4249028153655004,-1.0934644948579026,-1.30423282752347,-1.033601652078488,-0.9456172197877315,-1.0756257206945292,-1.1746740666477031,-0.9439141353805925,-0.227697968309931,-0.6246663503953599,-0.9814096295191104,-0.9143335918643113,-1.4019759426389806,-1.1303690883588948,-1.1574343695653184,-1.0432118138545896,-0.1080782675993307,-1.0218058664117071,-1.8747371174405818,-0.8621732795822009,-0.9604067277519628,-0.7454804109635604,-0.36558000611967023,-0.2886326872480911,-0.25861401718079857,-0.19702213893384324,-0.2563805766795769,-0.183095631608041,-1.3304320649263683,-0.8979439644111473,-1.05271412953706,-0.9754687406121721,-0.42948011259628616,-0.9941976381078573,-1.09140648156645,-0.9782027943336853,-0.9347799408412854,-0.9790965491760436,-1.0619431015101832,-0.9603659380133908,-0.22616374274741102,-0.6948978281059499,-1.0672755139853418,-0.900890872411184,-1.3969598527912923,-1.0269135028149763,-0.8966974753767691,-1.0328743259958761,-0.1250619064968353,-1.1893197898011891,2,2,0.9855858773107632,45,-0.6399029113382834,-0.8842198796676638,-0.9866994029940509,-0.9209958794477093,-0.9482994446460058,-0.9551046332753101,0.8711508271689742,-0.9906108020706323,-0.9124877199237295,-0.9484773948521904,-0.8696089853046093,-0.7517985392294512,-0.8333757274025771,-0.7927998517331638,0.9155916264319555,-1.0220648183467507,-0.8837131064469071,-0.7430380805575527,-0.6444605233943139,-0.8480055156754752,-0.9400118115898711,0,0,0,1
4,2012,0,1,130,1,6,-0.04310764946846805,0,1,3,-1.0011701227500405,0.918568187724852,-0.06462366595654702,-1.0349370979868466,-0.26573673945245474,-0.8058635559182897,-0.671209535890743,3.1353778225145583,0.690532969696469,-0.9054165590217336,-0.04557246602540713,0.054736816680768886,-0.9809079398875256,-0.11115706897252248,-1.2794629691495523,-1.1753696633695674,-0.6730726092554653,0.28372536974878854,-0.7382340826495833,-0.3221358413234585,-0.2242159723885048,-0.2563786059859133,-0.19015266685794965,-0.8427802487710526,-0.7650780790877028,-0.2759982904200395,-1.066951409149132,0.9644648970139348,-1.0934644948579026,-0.7443960704612795,-1.033601652078488,-0.2573991907588669,-1.0756257206945292,1.8094641003943706,-0.9439141353805925,3.002724078086698,-0.6246663503953599,-0.478605822730802,-0.9143335918643113,-0.02745909248236665,-1.1303690883588948,-0.6656639168789915,-1.0432118138545896,-0.1080782675993307,-1.0218058664117071,0.012047373948397161,-0.8621732795822009,0.008074462962877593,-0.7454804109635604,-0.36558000611967023,-0.2886326872480911,-0.25861401718079857,-0.19702213893384324,-0.2563805766795769,-0.183095631608041,-1.3304320649263683,-0.8979439644111473,-0.9105834052794906,-0.6351600034906468,0.8621685266688609,0.9297649740117667,-1.0184483090801055,-0.8530101700173491,-0.27474260897069114,-0.28574573194725433,-0.32011787544502307,-0.32114614269304104,3.030400597973738,1.7687234464436616,-0.8869867349902374,-0.568571394419781,-0.055313731114150604,1.0358650854725262,-0.8966974753767691,-1.0328743259958761,-0.1250619064968353,-1.1893197898011891,1,1,0.9855858773107632,13,-0.9614577543043799,-0.9950794887766269,-1.0371298288640236,-0.9209958794477093,-1.0102245317360075,-0.9551046332753101,0.8711508271689742,-0.9906108020706323,-0.9400418094330165,-0.9484773948521904,-0.9136910485901443,-0.7517985392294512,-0.8883287715190911,-0.7927998517331638,0.9155916264319555,-1.0220648183467507,-0.9109536497637422,-0.7430380805575527,-0.9576132457636045,-0.8480055156754752,-1.1220059983471538,0,0,0,1
5,2013,0,1,163,3,6,-0.04310764946846805,0,1,7,-1.0128917000732993,-0.8539430500584693,-0.7418935152727492,-0.926687751129086,-0.4672746886787438,-0.6344962049833364,-1.0169183513158258,-0.3774394695563817,-0.32111034326326604,-0.9956081816935582,-1.3177111217453705,-1.1350254491005012,-0.9347688097473787,-0.6645499249147666,-0.7295985855064829,-0.8769445523331271,-0.7526789730641068,-0.7304024453565199,-0.37759990882749095,-0.3221358413234585,-0.2242159723885048,-0.2563786059859133,-0.19015266685794965,0.598687440510966,-0.7650780790877028,-0.3518425159156253,-1.066951409149132,-0.867232072855773,-1.0934644948579026,-0.004611719362332809,-1.033601652078488,-0.4610554785018521,-1.0756257206945292,-0.19318006478063593,-0.9439141353805925,-0.3720245725187166,-0.6246663503953599,-0.9335235505671603,-0.9143335918643113,-1.345873211583289,-1.1303690883588948,-0.34952572168916446,-1.0432118138545896,-0.6718312436360729,-1.0218058664117071,1.8988318653373761,-0.8621732795822009,-0.4069888800437192,-0.7454804109635604,-0.36558000611967023,-0.2886326872480911,-0.25861401718079857,-0.19702213893384324,-0.2563805766795769,-0.183095631608041,-1.2772250807234415,-0.3468701551047973,-1.0770793900056959,-0.918262994478792,-0.7985225280370669,-0.7531366499307188,-1.0132370026890503,-0.9023246022971695,-0.41617911283272896,-0.6658725631806581,-1.0705356640655994,-0.815081293460533,-0.38962061188381986,-0.31517730148472656,-1.0586903336640312,-0.8758697650535007,-1.3330719394880577,-0.8716020993888809,-0.947366434937257,-0.9321356987715235,-0.6580611390562094,-0.6371609151922953,4,2,-0.5248302754724696,153,-0.10679882957870226,-0.8350674258827779,-0.8858385512541055,-0.9209958794477093,-0.9482994446460058,-0.9551046332753101,-0.6363066493582661,-0.9906108020706323,-0.8194926678298857,-0.9484773948521904,-0.7814448587335393,-0.7517985392294512,-0.8333757274025771,-0.7927998517331638,-0.6020940736471996,-1.0220648183467507,-0.7917762727525891,-0.7430380805575527,-0.12528627315048985,-0.8480055156754752,-0.859320016574495,0,0,0,1
6,2013,0,1,164,3,7,-0.1860046798540564,0,1,9,-0.956628089865336,-0.8100418397714021,-0.6277791512070627,-0.891579856384096,-0.6062664303593284,-0.39003035756485804,-0.9826897532276158,-0.43926307889836264,-0.3726757919884181,-0.6886401876059313,0.031618043478948775,3.5011474831940266,-0.9040093928358383,-0.7228018106470047,-0.1505586126058698,-1.1753696633695674,-0.8234401926720685,-0.8656194965833489,-0.7382340826495833,-0.3221358413234585,-0.2242159723885048,-0.2563786059859133,-0.19015266685794965,1.3194212851519753,-0.7650780790877028,0.012210019176310434,-1.066951409149132,-0.821864961978102,-1.0934644948579026,0.235318329975516,-1.033601652078488,-0.6015081438498402,-1.0756257206945292,0.005101550222985225,-0.9439141353805925,-0.43141825139673357,-0.6246663503953599,0.6147930031436794,-0.9143335918643113,0.05253930795421222,-1.1303690883588948,-0.13876694669776982,-1.0432118138545896,-0.7311736684409367,-1.0218058664117071,0.012047373948397161,-0.8621732795822009,-0.775934112064433,-0.7454804109635604,-0.36558000611967023,-0.2886326872480911,-0.25861401718079857,-0.19702213893384324,-0.2563805766795769,-0.183095631608041,-1.239242890440608,-0.2299416317841247,-1.0561948745026877,-0.8153260107907933,-0.7774343864912143,-0.4245753972608221,-1.0132370026890503,-0.7216876865366327,-0.6317015168740986,-0.11328197700578342,-1.0705356640655994,-0.7791641501653103,-0.4686547198474711,-0.2412190809807379,-0.8219846472157534,-0.1540595953749101,0.4101554122172158,3.6163838225209215,-0.9437472230080551,-0.8639754899549362,-0.6104719161919627,-0.08224150674310884,11,10,0.7109922207347715,291,-0.5060514769688698,-0.6305284823951679,-0.8101929124491465,-0.6776702471349771,-0.7625241833760007,-0.6711425573861254,0.7036723015267978,-0.4016945825432751,-0.825950657558625,-0.8211851137144275,-0.876957465254308,-0.712653110259978,-0.8425363998568001,-0.7418729523672393,0.9155916264319555,-1.0220648183467507,-0.8807336720216283,-0.7092854749082264,-0.714965485249029,-0.238960990268269,-1.0041570321985092,0,0,0,1
7,2013,0,1,165,3,6,-0.04310764946846805,0,1,10,-0.9003644796573727,-0.6563876033633242,0.4049698364180161,-0.8447693301939736,-0.5089722117958728,0.103084001674724,-0.8389296414727737,-0.1726796755684205,-0.1790864914278183,-0.9797850892095619,-1.2707953675955648,-1.0907234105019874,-0.7091997526712069,-0.029604365010121758,0.4145989843999255,-0.8769445523331271,-0.646537143590248,-0.3247512945155906,-0.016965735005398577,-0.3221358413234585,-0.2242159723885048,-0.2563786059859133,-0.19015266685794965,1.67978820747248,-0.7650780790877028,0.3762625542682462,-1.066951409149132,-0.6630800734894429,-1.0934644948579026,0.5552250614929198,-1.033601652078488,-0.5031912787256448,-1.0756257206945292,0.8378843319890199,-0.9439141353805925,-0.1753127082214032,-0.6246663503953599,-0.8537134189060871,-0.9143335918643113,-1.2972508445156323,-1.1303690883588948,1.1960386263626093,-1.0432118138545896,-0.024998807738278304,-1.0218058664117071,1.8988318653373761,-0.8621732795822009,0.14642896831017854,-0.7454804109635604,-0.36558000611967023,-0.2886326872480911,-0.25861401718079857,-0.19702213893384324,-0.2563805766795769,-0.183095631608041,-1.1176360459216212,-0.2008846051252686,-0.9796183176014721,-0.6800595373496613,-0.4294800436222486,0.7069484187926054,-0.9402788270290254,-0.6694656701636765,-0.41617911283272896,0.17601643438883,-0.9215977741230942,-0.7123764868191138,-0.1632956672877082,-0.22931714886136798,-1.044381699755116,-0.8586915717188491,-1.3117759682379078,-0.8959434278211984,-0.761580220857263,-0.7592653289725421,0.0415004357890053,-0.2565514144518704,9,8,0.6499714081623289,312,-0.22808593155769322,-0.33312302383247394,-0.6336864219042421,-0.9209958794477093,-0.5767489221059955,-0.9551046332753101,0.5361937758846215,-0.9906108020706323,-0.6825832855806158,-0.9484773948521904,-0.5610345423058642,-0.7517985392294512,-0.5036574627034937,-0.7927998517331638,0.5783618638743673,-1.0220648183467507,-0.6564248231470653,-0.7430380805575527,-0.24340418368374037,-0.8480055156754752,-0.03529615447763884,0,0,0,1
8,2013,0,1,166,3,6,-0.04310764946846805,0,1,8,-1.022268968512404,-1.0597299736320216,-0.7936819660632939,-1.008606172330433,-1.1657081899085686,-0.6192565864748366,-1.0306097905271498,-0.49985021594444706,-0.5549976626892685,-0.9607973782354121,-1.1507993046581386,-0.6743092614373387,-0.9245156707649032,-0.7228018106470047,-0.790633043384123,-1.1753696633695674,-0.7880595828061716,-0.59518539507621,-0.7382340826495833,-0.3221358413234585,-0.2242159723885048,-0.2563786059859133,-0.19015266685794965,0.9590543628314706,-0.7650780790877028,-0.41251793889106997,-1.066951409149132,-1.0798904054595653,-1.0934644948579026,-0.5644485020370549,-1.033601652078488,-1.166830121152863,-1.0756257206945292,-0.27249271064328734,-0.9439141353805925,-0.48962405659241975,-0.6246663503953599,-0.7579412609463198,-0.9143335918643113,-1.1728897908664213,-1.1303690883588948,-0.2792727966100711,-1.0432118138545896,-0.7311736684409367,-1.0218058664117071,0.012047373948397161,-0.8621732795822009,-0.591461495731249,-0.7454804109635604,-0.36558000611967023,-0.2886326872480911,-0.25861401718079857,-0.19702213893384324,-0.2563805766795769,-0.183095631608041,-1.224050014327475,-0.2008846051252686,-1.0852011460820203,-0.8217329169314586,-1.0568522672049383,-0.6017787810522427,-1.0861951784585124,-0.7940689352711847,-1.1705075254924389,-0.35264857865609184,-1.0819924247656327,-0.853287125927521,-0.49020947632478895,-0.4364960571336187,-1.027211339112495,-0.8027718265069548,-1.2265920836845234,-0.7197614507748523,-0.9389216069842252,-0.8956672630497198,-0.7913109636357492,-0.7808827488321183,3,2,-0.02125753013453996,112,-0.1378271795310202,-0.5537751788959765,-0.9362689771240782,-0.9209958794477093,-0.9482994446460058,-0.9551046332753101,-0.1337203266840843,-0.9906108020706323,-0.8547963450136598,-0.9484773948521904,-0.8255269220190743,-0.7517985392294512,-0.8333757274025771,-0.7927998517331638,-0.09609766124080943,-1.0220648183467507,-0.8266782188772839,-0.7430380805575527,-0.15550386268690336,-0.8480055156754752,-0.397532769235621,0,0,0,1
9,2013,0,1,168,3,4,-1.0439872698582826,0,0,3,-1.1066643838735797,-0.8100418397714021,-0.8785521785878851,-1.1022272250383516,-1.3846201829533302,-1.197585186282786,-1.1743699022580318,-0.6816116276279847,-0.5701485684590222,-1.005102037175095,-1.3718446840558807,-1.303002073412496,-1.0578064773217692,-1.1305650150541844,-0.8803350065604254,-1.1753696633695674,-0.8234401926720685,-0.8656194965833489,-0.7382340826495833,-0.3221358413234585,-0.2242159723885048,-0.2563786059859133,-0.19015266685794965,-0.8427802487710526,-0.7650780790877028,-0.9585967418475193,-1.066951409149132,-0.821864961978102,-1.0934644948579026,-1.2042619673112096,-1.033601652078488,-1.3880430689727115,-1.0756257206945292,-1.1052754922705248,-0.9439141353805925,-0.6642414727033303,-0.6246663503953599,-0.9814096295191104,-0.9143335918643113,-1.4019759426389806,-1.1303690883588948,-1.1925608211629726,-1.0432118138545896,-1.1465706464366512,-1.0218058664117071,0.012047373948397161,-0.8621732795822009,-0.775934112064433,-0.7454804109635604,-0.36558000611967023,-0.2886326872480911,-0.25861401718079857,-0.19702213893384324,-0.2563805766795769,-0.183095631608041,-1.3304320649263683,-0.8979439644111473,-1.0933229020730666,-0.9215346458197896,-0.7985225280370669,-0.6892769276472142,-1.138308161057182,-0.9782027943336853,-1.3590896286573662,-0.9790965491760436,-1.16218975014705,-0.8999653421205301,-0.6662399894925534,-0.46210748881029207,-1.0672755139853418,-0.900890872411184,-1.3969598527912923,-1.0269135028149763,-1.023369886159861,-0.9734619249263242,-1.1244355236854757,-0.8177574037362569,1,1,0.9855858773107632,50,0.2909137393530487,-0.9950794887766269,-1.0371298288640236,-0.9209958794477093,-1.0102245317360075,-0.9551046332753101,0.8711508271689742,-0.9906108020706323,-0.9081823934379034,-0.9484773948521904,-0.9136910485901443,-0.7517985392294512,-0.8883287715190911,-0.7927998517331638,0.9155916264319555,-1.0220648183467507,-0.8794567715536517,-0.7430380805575527,0.2620341992536328,-0.8480055156754752,-1.1220059983471538,0,0,0,0
