Unnamed: 0,year,timeInterval,teamNumber,semesterId,teamMemberCount,femaleTeamMembersPercent,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,leadAdminHoursResponseCount,leadAdminHoursTotal,leadAdminHoursAverage,leadAdminHoursStandardDeviation,globalLeadAdminHoursResponseCount,globalLeadAdminHoursTotal,globalLeadAdminHoursAverage,globalLeadAdminHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursAverageByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageLeadAdminHoursResponseCountByWeek,standardDeviationLeadAdminHoursResponseCountByWeek,averageLeadAdminHoursTotalByWeek,standardDeviationLeadAdminHoursTotalByWeek,averageGlobalLeadAdminHoursResponseCountByWeek,standardDeviationGlobalLeadAdminHoursResponseCountByWeek,averageGlobalLeadAdminHoursTotalByWeek,standardDeviationGlobalLeadAdminHoursTotalByWeek,averageGlobalLeadAdminHoursAverageByWeek,standardDeviationGlobalLeadAdminHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,standardDeviationUniqueCommitMessageCountByStudent,averageUniqueCommitMessagePercentByStudent,standardDeviationUniqueCommitMessagePercentByStudent,averageCommitMessageLengthTotalByStudent,standardDeviationCommitMessageLengthTotalByStudent,averageCommitMessageLengthAverageByStudent,standardDeviationCommitMessageLengthAverageByStudent,averageCommitMessageLengthStandardDeviationByStudent,issueCount,onTimeIssueCount,lateIssueCount,semester_Fall,semester_Spring,teamLeadGender_F,teamLeadGender_M,teamDistribution_Global,teamDistribution_Local,processLetterGrade
0,2012,1,134,1,3,0.0,1,0.005830903781587604,0.2,0.0,0.007306889342521607,0.27014755917312,0.0,0.025782688756617794,0.13333333333333333,0.0,0.0,0.0,0.0,0.006194690262745712,0.21538461022863917,0.0,0.07142857142857142,0.013592232993345273,0.10344827585850178,0.0,0.08333333333333333,0.05063291139240506,0.3333333333333333,0.0,0.05263157894736842,0.0,0.02564102564102564,0.0,0.2,0.0,0.028169014084507043,0.0,0.287105869818642,0.0,0.09486166007905138,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.21538461022863917,0.0,0.2857142857142857,0.0,0.07692307692307693,0.0,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.08108130021973033,0.0,0.031496062992125984,0.0,0.2,0.0,0.040114613154079194,0.0,0.23411371212402546,0.0,0.12891344375539118,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.027906976746782042,0.0,0.21538461022863917,0.0,4,3,0.75,57,0.07840198596356866,0.04280985528100181,0.02973977695167286,0.0,0.031746031746031744,0.0,0.75,0.0,0.00877260484801847,0.0,0.02554278416347382,0.0,0.02186588921282799,0.0,0.75,0.0,0.009664292980671414,0.0,0.07709371934510265,0.0,0.09997701069723892,2,2,0,1,0,0,1,1,0,0
1,2013,1,167,3,3,0.39997599903996156,3,0.028321533920814088,0.32380953830000003,0.26057935838284213,0.022964510389872562,0.28301174132232915,0.19516716917226412,0.019643954217442375,0.03386243537777778,0.023893601260977226,0.003302600945738126,0.03757472378954464,0.029361348469270018,0.04955752431966481,0.574358986312268,0.38440385405972594,0.07142857142857142,0.015533981258968802,0.11822660627178529,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.1245421301153846,0.0,0.32380953830000003,0.0,0.08853119108450705,0.0,0.3007775913650406,0.0,0.072275553770751,0.0,0.03386243537777778,0.0,0.009445100776859503,0.0,0.043080238818106346,0.0,0.2758620813103448,0.0,0.574358986312268,0.0,0.2857142857142857,0.0,0.08791209184615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108130021973033,0.0,0.05099362807874016,0.05339983024726804,0.32380953830000003,0.26413477376006556,0.04202483470869424,0.03046988155358762,0.24526199510540525,0.17008896993524203,0.03273992368870293,0.008623645744288333,0.03386243537777778,0.015820280153477844,0.006910850342620794,0.0042927876487383245,0.043080238818106346,0.022352126622342792,0.07441860798831801,0.06663433959677395,0.574358986312268,0.3348353800366108,4,3,0.75,127,0.1746851266205828,0.0193386545464385,0.02973977695167286,0.0,0.031746031746031744,0.0,0.75,0.0,0.019545979222777992,0.0,0.02554278416347382,0.0,0.02186588921282799,0.0,0.75,0.0,0.021532722956934553,0.0,0.17177021678645676,0.0,0.04516298548006316,2,2,0,1,0,1,0,1,0,1
2,2013,1,170,3,4,0.0,3,0.011661808085041095,0.1333333393,0.03722562263740137,0.012526096576294124,0.15437004072127045,0.0,0.027010437048983267,0.04656084864444445,0.011946800630488613,0.003302600945738126,0.03757472378954464,0.029361348469270018,0.010619469497071031,0.12307692563834315,0.0,0.07142857142857142,0.015533981258968802,0.11822660627178529,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.05128205357692307,0.0,0.1333333393,0.0,0.04828974059154929,0.0,0.16406050438093125,0.0,0.09937888643478261,0.0,0.04656084864444445,0.0,0.009445100776859503,0.0,0.043080238818106346,0.0,0.059113303137931034,0.0,0.12307692563834315,0.0,0.2857142857142857,0.0,0.08791209184615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108130021973033,0.0,0.020997376267716535,0.007628547182226797,0.1333333393,0.03773353912859203,0.02292263711383322,0.0,0.13377927005749377,0.0,0.04501739507196654,0.004311822872144167,0.04656084864444445,0.007910140076738922,0.006910850342620794,0.0042927876487383245,0.043080238818106346,0.022352126622342792,0.015946844568925287,0.0,0.12307692563834315,0.0,7,1,0.1429,0,0.0,0.0,0.05204460966542751,0.0,0.010582010582010581,0.0,0.1429,0.0,0.0,0.0,0.04469987228607918,0.0,0.00728862973760933,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,1,0,0
3,2012,1,127,1,6,0.0,1,0.005830903781587604,0.2,0.0,0.0036534446712608035,0.13507377958656,0.0,0.0064456721891544486,0.03333333333333333,0.0,0.0,0.0,0.0,0.006194690262745712,0.21538461022863917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.02564102564102564,0.0,0.2,0.0,0.014084507042253521,0.0,0.143552934909321,0.0,0.023715415019762844,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.21538461022863917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108130021973033,0.0,0.031496062992125984,0.0,0.2,0.0,0.020057306577039597,0.0,0.11705685606201273,0.0,0.032228360938847796,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.027906976746782042,0.0,0.21538461022863917,0.0,2,2,1.0,45,0.12379260941616105,0.013319514922659731,0.01486988847583643,0.0,0.021164021164021163,0.0,1.0,0.0,0.006925740669488265,0.0,0.01277139208173691,0.0,0.01457725947521866,0.0,1.0,0.0,0.0076297049847405905,0.0,0.12172692528174102,0.0,0.03110604502547206,0,0,0,1,0,0,1,0,1,1
4,2012,1,130,1,6,0.20004800192007677,3,0.03206997079873182,0.3666666667,0.13421889110512236,0.01826722335630402,0.22512296602262458,0.05412963354857658,0.09883364023370154,0.17037037037777777,0.09557440499322294,0.017338654189220384,0.1972672910673981,0.15256604196473683,0.018584070788237136,0.21538461022863917,0.0,0.07142857142857142,0.02038834949001791,0.15517241378775265,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.14102564102564102,0.0,0.3666666667,0.0,0.07042253521126761,0.0,0.23925489156338595,0.0,0.36363636363636365,0.0,0.17037037037777777,0.0,0.049586776859504134,0.0,0.22617124367389516,0.0,0.10344827586206896,0.0,0.21538461022863917,0.0,0.2857142857142857,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108130021973033,0.0,0.05774278215748031,0.04813395436873503,0.3666666667,0.23808785699302093,0.03342884430175176,0.014788942455436877,0.19509476014237348,0.08255483318019831,0.16472273369460616,0.06036551748885808,0.17037037037777777,0.1107419560823127,0.03628196267514134,0.03903546137355769,0.22617124367389516,0.20325384034306304,0.027906976746782042,0.0,0.21538461022863917,0.0,1,1,1.0,13,0.07152461877378194,0.0,0.007434944237918215,0.0,0.010582010582010581,0.0,1.0,0.0,0.0020007695267410543,0.0,0.006385696040868455,0.0,0.00728862973760933,0.0,1.0,0.0,0.002204136995591726,0.0,0.07033111238500592,0.0,0.0,0,0,0,1,0,0,1,0,1,1
5,2013,1,163,3,6,0.20004800192007677,7,0.029987506516053197,0.1469387821,0.053510800283424684,0.03757828974349615,0.19847576666092967,0.07780984722395619,0.036832414157704454,0.027210885577777778,0.031562153595206456,0.0016513004719058042,0.008051726521634155,0.01887515257968212,0.026548673739580232,0.13186813453558743,0.06994031300564323,0.14285714285714285,0.011650485937430483,0.04433497737778155,0.04622501635377751,0.0,0.0,0.0,0.0,0.3684210526315789,0.0,0.13186813782051282,0.0,0.1469387821,0.0,0.1448692218309859,0.0,0.210934934224562,0.0,0.1355166633201581,0.0,0.027210885577777778,0.0,0.004722550385674931,0.0,0.009231479741352043,0.0,0.1477832578275862,0.0,0.13186813453558743,0.0,0.5714285714285714,0.0,0.06593406884615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09459755296635938,0.10122204119702409,0.02699662662992126,0.008091296148621249,0.1523809592,0.02983098201502179,0.03438395567074983,0.008963453093012538,0.17837236007665833,0.03729447383539067,0.03069367844741621,0.013720136353447597,0.026455027644444445,0.017068773645140624,0.0017277125826317017,0.0029390707872072384,0.010770059685678983,0.015303454948905495,0.019933555704179862,0.014921532400665028,0.13333333616205123,0.06571432614585704,4,2,0.5,153,0.2104474360074738,0.019225063814047583,0.02973977695167286,0.0,0.021164021164021163,0.0,0.5,0.0,0.0235475182762601,0.0,0.02554278416347382,0.0,0.01457725947521866,0.0,0.5,0.0,0.025940996948118005,0.0,0.20693577297895974,0.0,0.044897708669552804,0,0,0,1,0,0,1,0,1,1
6,2013,1,164,3,7,0.17148685947437897,9,0.03998334201168609,0.1523809592,0.0671094455920449,0.04384133802798977,0.18009838084148216,0.1115910982710105,0.04297114986139798,0.024691359133333333,0.028299323282426698,0.055043349095635435,0.2087484655193888,0.5398313977791085,0.031858408491213096,0.12307692563834315,0.14359163168013384,0.07142857142857142,0.003883495307946084,0.029556651516222183,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,0.17582418371794872,0.0,0.1523809592,0.0,0.16901409211267607,0.0,0.1914039217777531,0.0,0.15810277391304348,0.0,0.024691359133333333,0.0,0.15741834628099174,0.0,0.2393346601257209,0.0,0.1773399094137931,0.0,0.12307692563834315,0.0,0.2857142857142857,0.0,0.021978022923076927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10424622769250728,0.1226996429352926,0.03085328757480315,0.022650910802076336,0.15510204769999997,0.0704900073236978,0.03438395567074983,0.0303020021257417,0.1528905943012542,0.10308948341069717,0.03069367844741621,0.017112016513621608,0.02312925273333333,0.020393261094404112,0.049363216736461095,0.0877255334039385,0.30463883161539823,0.45752269225011727,0.02050308586237238,0.02501750841617833,0.14065934364821633,0.1317571929155448,11,10,0.9091,291,0.14554984825777034,0.04379992504570253,0.040892193308550186,0.04477988580958187,0.05291005291005291,0.0431543711158162,0.94445,0.12344444444444444,0.022393228164678723,0.030110844624329978,0.011706896551724138,0.00430087144278466,0.013362244897959185,0.0064103610490899385,1.0,0.0,0.008223126483553746,0.004690467840292313,0.11015538344630674,0.08179456879058256,0.020142485386711845,0,0,0,1,0,0,1,0,1,1
7,2013,1,165,3,6,0.20004800192007677,10,0.049979177507318985,0.1714285791,0.19017885311611493,0.05219206904962496,0.19296255083405114,0.17973157736159012,0.06875383977823676,0.03555555715555555,0.04054878593067583,0.004403467927650835,0.015029889528969009,0.02385327225295742,0.06548672853739525,0.22769231233401171,0.21547717365726368,0.14285714285714285,0.0233009718884532,0.08866995465211482,0.09245003270755502,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.21978022961538463,0.0,0.1714285791,0.0,0.2012072523943662,0.0,0.20507563040438756,0.0,0.25296443826086956,0.0,0.03555555715555555,0.0,0.01259346770247934,0.0,0.01723209554232062,0.0,0.36453203586206895,0.0,0.22769231233401171,0.0,0.5714285714285714,0.0,0.13186813776923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13513820307622454,0.12803687998023208,0.04499437771653543,0.04178327371261214,0.20000000890000003,0.21051459969554553,0.04775549397712389,0.036470962951221854,0.17837236007665833,0.1375352235735704,0.05729486645523013,0.02341919268257034,0.03597883757777778,0.020928263473898864,0.004607233561747195,0.004956884207098447,0.014360079606035447,0.012905006317039648,0.04916943742782971,0.040527309401434744,0.24102564601483223,0.11101197147227564,9,8,0.8889,312,0.19073250012654355,0.07953247430548507,0.06691449814126393,0.0,0.08465608465608465,0.0,0.8889,0.0,0.0480184686417853,0.0,0.05747126436781609,0.0,0.05830903790087464,0.0,0.8889,0.0,0.052899287894201424,0.0,0.18754981336286805,0.0,0.18573804985381595,0,0,0,1,0,0,1,0,1,1
8,2013,1,166,3,6,0.20004800192007677,8,0.028321533920814088,0.1214285769,0.04733933555021925,0.022964510389872562,0.10612940301275764,0.0799157175699915,0.03437691988052415,0.022222223222222223,0.016762813058764488,0.007706068873388959,0.03287788329119315,0.07064478644206881,0.02831858532552275,0.12307692563834315,0.06217700042334865,0.07142857142857142,0.007766990629484401,0.05911330313589264,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.0,0.1245421301153846,0.0,0.1214285769,0.0,0.08853119108450705,0.0,0.11279159677983433,0.0,0.1264822190988142,0.0,0.022222223222222223,0.0,0.02203856847933884,0.0,0.037695208937571646,0.0,0.15763547503448277,0.0,0.12307692563834315,0.0,0.2857142857142857,0.0,0.04395604592307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10810569758296644,0.12803687998023208,0.025496814031496062,0.021744705071280113,0.11904762440000001,0.04856132033516502,0.021012417344318468,0.021751641206050734,0.08918618003832916,0.07458894749565609,0.028647433227615066,0.010112120980884678,0.022222223222222223,0.011615388236912006,0.0080626587270106,0.01152542201123692,0.028720159212070894,0.030264922518046966,0.021262459425233714,0.0203232830520072,0.11282051511463506,0.04860949656799734,3,2,0.6667,112,0.2054038500051718,0.053021649527123745,0.022304832713754646,0.0,0.021164021164021163,0.0,0.6667,0.0,0.017237398999615235,0.0,0.019157088122605366,0.0,0.01457725947521866,0.0,0.6667,0.0,0.018989487962021025,0.0,0.2019763475387032,0.0,0.12382536654616912,0,0,0,1,0,0,1,0,1,1
9,2013,1,168,3,4,0.0,3,0.013327780668618396,0.1523809592,0.03722562263740137,0.006263048288147062,0.07718502036063522,0.0,0.008594229967982482,0.014814815466666667,0.015804131696848807,0.0,0.0,0.0,0.00530973474543817,0.061538462711479266,0.05076730820032273,0.07142857142857142,0.003883495307946084,0.029556651516222183,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.05860806123076923,0.0,0.1523809592,0.0,0.024144870295774647,0.0,0.08203025219046563,0.0,0.031620554766798425,0.0,0.014814815466666667,0.0,0.0,0.0,0.0,0.0,0.029556651551724135,0.0,0.061538462711479266,0.0,0.2857142857142857,0.0,0.021978022923076927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108130021973033,0.0,0.023997001448818896,0.007628547182226797,0.1523809592,0.03773353912859203,0.01146131855691661,0.0,0.06688963502874688,0.0,0.014323716603064746,0.005704005499204927,0.014814815466666667,0.010464131722266982,0.0,0.0,0.0,0.0,0.007973422270509156,0.008800239709305028,0.061538462711479266,0.04422091710234465,1,1,1.0,50,0.275094687591469,0.0,0.007434944237918215,0.0,0.010582010582010581,0.0,1.0,0.0,0.007695267410542516,0.0,0.006385696040868455,0.0,0.00728862973760933,0.0,1.0,0.0,0.0084774499830451,0.0,0.2705042784038689,0.0,0.0,0,0,0,1,0,0,1,1,0,0
