Unnamed: 0,year,timeInterval,teamNumber,semesterId,teamMemberCount,femaleTeamMembersPercent,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,leadAdminHoursResponseCount,leadAdminHoursTotal,leadAdminHoursAverage,leadAdminHoursStandardDeviation,globalLeadAdminHoursResponseCount,globalLeadAdminHoursTotal,globalLeadAdminHoursAverage,globalLeadAdminHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursAverageByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageLeadAdminHoursResponseCountByWeek,standardDeviationLeadAdminHoursResponseCountByWeek,averageLeadAdminHoursTotalByWeek,standardDeviationLeadAdminHoursTotalByWeek,averageGlobalLeadAdminHoursResponseCountByWeek,standardDeviationGlobalLeadAdminHoursResponseCountByWeek,averageGlobalLeadAdminHoursTotalByWeek,standardDeviationGlobalLeadAdminHoursTotalByWeek,averageGlobalLeadAdminHoursAverageByWeek,standardDeviationGlobalLeadAdminHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,standardDeviationUniqueCommitMessageCountByStudent,averageUniqueCommitMessagePercentByStudent,standardDeviationUniqueCommitMessagePercentByStudent,averageCommitMessageLengthTotalByStudent,standardDeviationCommitMessageLengthTotalByStudent,averageCommitMessageLengthAverageByStudent,standardDeviationCommitMessageLengthAverageByStudent,averageCommitMessageLengthStandardDeviationByStudent,issueCount,onTimeIssueCount,lateIssueCount,semester_Fall,semester_Spring,teamLeadGender_F,teamLeadGender_M,teamDistribution_Global,teamDistribution_Local,processLetterGrade
0,2012,1,134,1,3,-1.0439872698582826,1,-1.193923367573745,-0.5043019897860026,-1.2379041988953778,-1.137979180949911,0.028539825812552485,-1.2460011941302453,-1.1261872016697536,2.234238428311473,-0.8442183020125285,-1.0349825505573285,-1.4424863138946071,-1.3641389495146623,-1.089154618642529,-0.1501708633301286,-1.3344099592551453,-1.240787593837502,-0.805371318277684,-0.2827803028940734,-0.8042956185155654,0.22075975875375728,-0.3488152793643114,1.9573950691363144,-0.6711462958638348,-1.6946273362086446,-0.7820598451773535,-1.3008664389960396,-1.1044844824787459,-0.5059773097604211,-1.1344532347618308,-1.2311567439769282,-1.070118891007918,0.0414653927677052,-1.1155690518940504,-0.5957902551375734,-0.9753537511748568,2.1349550352282147,-0.6411721633180621,-1.0139203488315873,-0.9420694063319544,-1.4760863776868391,-1.173691517391803,-1.2204859030734871,-1.078306851061288,-0.14774362895609527,-1.0568363412830355,-0.03846418917218647,-0.8935797220820356,-0.38784289201023275,-0.8042360767138749,2.7969036808331498,-0.2886326872480911,1.7826157945943906,-0.8260866245589484,1.997146490764067,-0.6885733845768833,-1.419540242266351,-0.9252772541223446,-1.098481469346062,-1.0042647887286595,-0.5040780911929489,-1.0257998909419386,-1.0251655638386157,-1.0083987379321702,0.009167021044007758,-1.0110279699156521,-0.5584145888219573,-0.9893048342202947,2.1558442504035464,-0.7126999194901747,-1.1035192577307646,-0.9253252120352582,-1.4700782381463475,-1.0629774340759557,-0.930779074659934,-1.0651916610246468,-0.16382376954137046,-1.236234791010736,4,3,0.23037780091914675,57,-0.919147906545683,-0.6387689286683725,-0.8858385512541055,-0.9209958794477093,-0.8863743575560041,-0.9551046332753101,0.11742208890535406,-0.9906108020706323,-0.9021549363577469,-0.9484773948521904,-0.7814448587335393,-0.7517985392294512,-0.7784226832860632,-0.7927998517331638,0.15674877639237794,-1.0220648183467507,-0.873497902703094,-0.7430380805575527,-0.9164089401886979,-0.8480055156754752,-0.5370639158236938,2,2,0,1,0,0,1,1,0,0
1,2013,1,167,3,3,0.9571715632306508,3,-1.0650548241198332,0.5541604375500161,0.9889898093495402,-1.0487524174303693,0.13121151671954567,0.1929038907850894,-1.1610867581358855,-0.2421988288099233,-0.4633518087671606,-1.015765956279337,-1.183335183324386,-1.0968391455305249,-0.8342448821878188,2.304754896755512,1.7525825936039825,-1.240787593837502,-0.7871734572190267,-0.13986468759432144,-0.8042956185155654,-0.3221358413234585,-0.14822865611368635,-0.10154070571043255,-0.13323893654733623,-0.9360085733103264,-0.7820598451773535,-0.45852209345853906,-1.1044844824787459,0.5913351403928797,-1.1344532347618308,-0.614362858144354,-1.070118891007918,0.14526250611374664,-1.1155690518940504,-0.7991608573565941,-0.9753537511748568,-0.24198862155764891,-0.6411721633180621,-0.9169656139412147,-0.9420694063319544,-1.2071918699484385,-1.173691517391803,0.546363518071313,-1.078306851061288,2.3557038148038596,-1.0568363412830355,-0.03846418917218647,-0.8935797220820356,-0.29210216940471023,-0.8042360767138749,-0.36558000611967023,-0.2886326872480911,-0.117001185344199,-0.1232334928543667,-0.09828072501277227,-0.12172424471906874,-1.419540242266351,-0.9252772541223446,-0.9908574807323361,-0.6223965119949674,0.5090913413987289,1.134984675215818,-1.0145490160401693,-0.7474112519610747,0.10842093197004447,0.4349280534062178,-1.1078314394394835,-0.8969529742723436,-0.24072066080530535,-0.3586390320620349,-1.0686870170131861,-0.8884281747629057,-1.207673858035235,-0.8330255698970888,-0.6309263115312862,-0.609493849829982,2.241261460136539,1.6288306647267639,4,3,0.23037780091914675,127,-0.3268100379239262,-0.8341219992464195,-0.8858385512541055,-0.9209958794477093,-0.8863743575560041,-0.9551046332753101,0.11742208890535406,-0.9906108020706323,-0.8418803655561815,-0.9484773948521904,-0.7814448587335393,-0.7517985392294512,-0.7784226832860632,-0.7927998517331638,0.15674877639237794,-1.0220648183467507,-0.8139092141975175,-0.7430380805575527,-0.3395486621400045,-0.8480055156754752,-0.8577679440639954,2,2,0,1,0,1,0,1,0,1
2,2013,1,170,3,4,-1.0439872698582826,3,-1.1605130033485727,-1.0742431790983027,-0.919776483335411,-1.1082369252011623,-0.8955044274941182,-1.2460011941302453,-1.1192072825052803,0.07394211659451727,-0.6537850553898445,-1.015765956279337,-1.183335183324386,-1.0968391455305249,-1.063143419581794,-0.7814374044878909,-1.3344099592551453,-1.240787593837502,-0.7871734572190267,-0.13986468759432144,-0.8042956185155654,-0.3221358413234585,-0.14822865611368635,-0.10154070571043255,-0.13323893654733623,-0.9360085733103264,-0.7820598451773535,-1.0824808606916847,-1.1044844824787459,-1.096837737807553,-1.1344532347618308,-1.0255587734455958,-1.070118891007918,-0.8927076519142527,-1.1155690518940504,-0.5551160888255571,-0.9753537511748568,0.06145101240378388,-0.6411721633180621,-0.9169656139412147,-0.9420694063319544,-1.2071918699484385,-1.173691517391803,-1.0401951356711712,-1.078306851061288,-0.791487172849438,-1.0568363412830355,-0.03846418917218647,-0.8935797220820356,-0.29210216940471023,-0.8042360767138749,-0.36558000611967023,-0.2886326872480911,-0.117001185344199,-0.1232334928543667,-0.09828072501277227,-0.12172424471906874,-1.419540242266351,-0.9252772541223446,-1.1564328358611888,-0.9497121777377726,-1.0496307499108508,-0.7171163813271264,-1.120714394255724,-1.0083987379321702,-0.8841172445526106,-1.0110279699156521,-1.0376931138768746,-0.9431289042463191,0.0652238142965466,-0.5356694757761048,-1.0686870170131861,-0.8884281747629057,-1.207673858035235,-0.8330255698970888,-1.0078840607717,-1.0651916610246468,-0.7822741759909047,-1.236234791010736,7,1,-1.6035694917902545,0,-1.4014801709948277,-0.9950794887766269,-0.7345472736441875,-0.9209958794477093,-1.0102245317360075,-0.9551046332753101,-1.712932779094021,-0.9906108020706323,-0.9512356582961644,-0.9484773948521904,-0.6491986688769343,-0.7517985392294512,-0.8883287715190911,-0.7927998517331638,-1.686025200643732,-1.0220648183467507,-0.9220201204862063,-0.7430380805575527,-1.386138023742634,-0.8480055156754752,-1.1220059983471538,1,1,0,1,0,0,1,1,0,0
3,2012,1,127,1,6,-1.0439872698582826,1,-1.193923367573745,-0.5043019897860026,-1.2379041988953778,-1.1587987577380126,-1.0495118673689812,-1.2460011941302453,-1.236120820280563,-0.2553714053384549,-0.8442183020125285,-1.0349825505573285,-1.4424863138946071,-1.3641389495146623,-1.089154618642529,-0.1501708633301286,-1.3344099592551453,-1.5477788100635588,-0.29583139105057177,-0.21781868176689392,-0.16558916860209927,-0.3221358413234585,-0.14822865611368635,-0.10154070571043255,-0.13323893654733623,-1.6946273362086446,-0.7820598451773535,-1.3008664389960396,-1.1044844824787459,-0.5059773097604211,-1.1344532347618308,-1.375075307892007,-1.070118891007918,-1.0484032243900734,-1.1155690518940504,-1.2364077438639132,-0.9753537511748568,-0.25463197528404813,-0.6411721633180621,-1.0139203488315873,-0.9420694063319544,-1.4760863776868391,-1.173691517391803,-1.2204859030734871,-1.078306851061288,-0.14774362895609527,-1.0568363412830355,-2.0197867638382987,-0.8935797220820356,-0.2681670313100656,-0.2517690246179637,-0.36558000611967023,-0.2886326872480911,-0.117001185344199,-0.1232334928543667,-0.09828072501277227,-0.12172424471906874,-1.419540242266351,-0.9252772541223446,-1.098481469346062,-1.0042647887286595,-0.5040780911929489,-1.0257998909419386,-1.1366392059765025,-1.0083987379321702,-1.0329980176678946,-1.0110279699156521,-1.1107538779103199,-0.9893048342202947,-0.2534683832067959,-0.7126999194901747,-1.1035192577307646,-0.9253252120352582,-1.4700782381463475,-1.0629774340759557,-0.930779074659934,-1.0651916610246468,-0.16382376954137046,-1.236234791010736,2,2,0.9855858773107632,45,-0.6399029113382834,-0.8842198796676638,-0.9866994029940509,-0.9209958794477093,-0.9482994446460058,-0.9551046332753101,0.8711508271689742,-0.9906108020706323,-0.9124877199237295,-0.9484773948521904,-0.8696089853046093,-0.7517985392294512,-0.8333757274025771,-0.7927998517331638,0.9155916264319555,-1.0220648183467507,-0.8837131064469071,-0.7430380805575527,-0.6444605233943139,-0.8480055156754752,-0.9400118115898711,0,0,0,1,0,0,1,0,1,1
4,2012,1,130,1,6,-0.04310764946846805,3,-1.043576742016492,0.9205511113040705,-0.09087840893950462,-1.0755204505856064,-0.3308107382219416,-0.8469207274309345,-0.710882420251141,3.1563161446625285,0.6792476701610035,-0.9340954351125716,-0.08194293928526282,0.0247915743845269,-1.0163232690945578,-0.1501708633301286,-1.3344099592551453,-1.240787593837502,-0.741678827374295,0.21742417158185637,-0.8042956185155654,-0.3221358413234585,-0.14822865611368635,-0.10154070571043255,-0.13323893654733623,-0.9360085733103264,-0.7820598451773535,-0.31813142458122684,-1.1044844824787459,0.9711738928578713,-1.1344532347618308,-0.7994010522316914,-1.070118891007918,-0.32182414592159825,-1.1155690518940504,1.824320257828599,-0.9753537511748568,3.0199872615208747,-0.6411721633180621,-0.5049080134354337,-0.9420694063319544,-0.06439027523363647,-1.173691517391803,-0.7156718085640364,-1.078306851061288,-0.14774362895609527,-1.0568363412830355,-0.03846418917218647,-0.8935797220820356,-0.05275048285398651,-0.8042360767138749,-0.36558000611967023,-0.2886326872480911,-0.117001185344199,-0.1232334928543667,-0.09828072501277227,-0.12172424471906874,-1.419540242266351,-0.9252772541223446,-0.95360304006265,-0.6600533910134507,0.8598036779420004,0.9219049093635908,-1.0623234445140868,-0.881725160129528,-0.3382213248459048,-0.3092149226810908,-0.3538444817112792,-0.34284184372593174,3.0481822630302893,1.7657261807841709,-0.920650002146877,-0.589810625454917,-0.09245530421163421,1.028036109202833,-0.930779074659934,-1.0651916610246468,-0.16382376954137046,-1.236234791010736,1,1,0.9855858773107632,13,-0.9614577543043799,-0.9950794887766269,-1.0371298288640236,-0.9209958794477093,-1.0102245317360075,-0.9551046332753101,0.8711508271689742,-0.9906108020706323,-0.9400418094330165,-0.9484773948521904,-0.9136910485901443,-0.7517985392294512,-0.8883287715190911,-0.7927998517331638,0.9155916264319555,-1.0220648183467507,-0.9109536497637422,-0.7430380805575527,-0.9576132457636045,-0.8480055156754752,-1.1220059983471538,0,0,0,1,0,0,1,0,1,1
5,2013,1,163,3,6,-0.04310764946846805,7,-1.0555090061301386,-0.957928634929864,-0.7806044293853337,-0.9654741064679806,-0.5434875321811405,-0.6723340896583162,-1.0633679816644732,-0.40779646672084535,-0.3411142856786459,-1.0253742534239376,-1.3869539288048107,-1.192303361309297,-0.9695031088479211,-0.721316775768945,-0.7727474704094658,-0.9337963776114453,-0.823569167999078,-0.8544425400014765,-0.4355382778166625,-0.3221358413234585,-0.14822865611368635,-0.10154070571043255,-0.13323893654733623,0.5812289524863098,-0.7820598451773535,-0.3961262162984533,-1.1044844824787459,-0.9762539606666233,-1.1344532347618308,-0.03868857614694134,-1.070118891007918,-0.5368321690061004,-1.1155690518940504,-0.22972306411750762,-0.9753537511748568,-0.4009331915762033,-0.6411721633180621,-0.9654429814146795,-0.9420694063319544,-1.4184661260622222,-1.173691517391803,-0.391148413811813,-1.078306851061288,-0.7301782580419955,-1.0568363412830355,1.9428583854939259,-0.8935797220820356,-0.48358355496930644,-0.8042360767138749,-0.36558000611967023,-0.2886326872480911,-0.117001185344199,-0.1232334928543667,-0.09828072501277227,-0.12172424471906874,-1.3643411588735528,-0.36857784130321636,-1.1233177648354182,-0.9464030070992314,-0.8937585407798929,-0.7817641488327179,-1.0570151673263912,-0.9316229524979226,-0.48710197394354887,-0.6939811378992414,-1.119521160427956,-0.8423739248865472,-0.41918827114753476,-0.33069750957836364,-1.094811197566609,-0.900063537511586,-1.4044771432333714,-0.905540155138902,-0.9821823960957404,-0.9631465339054981,-0.7135574566272455,-0.6739410281264895,4,2,-0.5248302754724696,153,-0.10679882957870226,-0.8350674258827779,-0.8858385512541055,-0.9209958794477093,-0.9482994446460058,-0.9551046332753101,-0.6363066493582661,-0.9906108020706323,-0.8194926678298857,-0.9484773948521904,-0.7814448587335393,-0.7517985392294512,-0.8333757274025771,-0.7927998517331638,-0.6020940736471996,-1.0220648183467507,-0.7917762727525891,-0.7430380805575527,-0.12528627315048985,-0.8480055156754752,-0.859320016574495,0,0,0,1,0,0,1,0,1,1
6,2013,1,164,3,7,-0.1860046798540564,9,-0.9982340986263053,-0.911402817433471,-0.6643913035800159,-0.9297834018263245,-0.6901612386513856,-0.42327573567100135,-1.0284684185778947,-0.4705228448431446,-0.3931241407737287,-0.7147059792574707,-0.0027578105755411827,3.5503773902870233,-0.938289671912353,-0.7814374044878909,-0.18128338945599767,-1.240787593837502,-0.8963605894317956,-0.9973581112832346,-0.8042956185155654,-0.3221358413234585,-0.14822865611368635,-0.10154070571043255,-0.13323893654733623,1.3398477153846278,-0.7820598451773535,-0.021750956176951376,-1.1044844824787459,-0.9280204499875098,-1.1344532347618308,0.20802897288988512,-1.070118891007918,-0.6851136203086531,-1.1155690518940504,-0.02635242331907812,-0.9753537511748568,-0.4611394682190692,-0.6411721633180621,0.6019918993412878,-0.9420694063319544,0.01777199879446381,-1.173691517391803,-0.17479950635708882,-1.078306851061288,-0.791487172849438,-1.0568363412830355,-0.03846418917218647,-0.8935797220820356,-0.8665463254283139,-0.8042360767138749,-0.36558000611967023,-0.2886326872480911,-0.117001185344199,-0.1232334928543667,-0.09828072501277227,-0.12172424471906874,-1.324936894184033,-0.25045566025389077,-1.1020295049026982,-0.8422855420833956,-0.8714910828002299,-0.4491483667024533,-1.0570151673263912,-0.7488492106135464,-0.7139678433096549,-0.13464627664306517,-1.119521160427956,-0.8060497934459561,-0.4993165862463779,-0.25629484634416144,-0.8547175383020738,-0.17131347406973366,0.38549559247537235,3.643876538462131,-0.9785107297391621,-0.8941023413767859,-0.6644740858593533,-0.10883606174265772,11,10,0.7109922207347715,291,-0.5060514769688698,-0.6305284823951679,-0.8101929124491465,-0.6776702471349771,-0.7625241833760007,-0.6711425573861254,0.7036723015267978,-0.4016945825432751,-0.825950657558625,-0.8211851137144275,-0.876957465254308,-0.712653110259978,-0.8425363998568001,-0.7418729523672393,0.9155916264319555,-1.0220648183467507,-0.8807336720216283,-0.7092854749082264,-0.714965485249029,-0.238960990268269,-1.0041570321985092,0,0,0,1,0,0,1,0,1,1
7,2013,1,165,3,6,-0.04310764946846805,10,-0.9409591911224721,-0.748562455768639,0.3873517351412324,-0.8821957957762467,-0.5874896447690452,0.07910221174627335,-0.8818902538341321,-0.20004670253469928,-0.19786643005775287,-1.0093604248533399,-1.3388258615758157,-1.1469835622452742,-0.7406045715996088,-0.06600191713520467,0.39600044991769207,-0.9337963776114453,-0.714382035786309,-0.42569582915742893,-0.06678093711775955,-0.3221358413234585,-0.14822865611368635,-0.10154070571043255,-0.13323893654733623,1.719157096833787,-0.7820598451773535,0.3526243039445505,-1.1044844824787459,-0.7592031621674664,-1.1344532347618308,0.5369857039795299,-1.070118891007918,-0.5813166050507875,-1.1155690518940504,0.8278042667530908,-0.9753537511748568,-0.20153000348371686,-0.6411721633180621,-0.8846473689777573,-0.9420694063319544,-1.3685285744973659,-1.173691517391803,1.1954102389210433,-1.078306851061288,-0.06191108093301341,-1.0568363412830355,1.9428583854939259,-0.8935797220820356,0.09086060105429723,-0.8042360767138749,-0.36558000611967023,-0.2886326872480911,-0.117001185344199,-0.1232334928543667,-0.09828072501277227,-0.12172424471906874,-1.198777021522629,-0.2211020067031693,-1.0239725517581066,-0.705467832726282,-0.5040780183616622,0.6963387411573453,-0.9826994026312398,-0.6960094391800842,-0.48710197394354887,0.15818297316219637,-0.9675547883142654,-0.7385053386418378,-0.18972991522269805,-0.24432139104359674,-1.0802977639190456,-0.8827201832498719,-1.3826101114426435,-0.9302146634464697,-0.7937035213855778,-0.7880341728646395,0.00796809236202303,-0.2863454316373104,9,8,0.6499714081623289,312,-0.22808593155769322,-0.33312302383247394,-0.6336864219042421,-0.9209958794477093,-0.5767489221059955,-0.9551046332753101,0.5361937758846215,-0.9906108020706323,-0.6825832855806158,-0.9484773948521904,-0.5610345423058642,-0.7517985392294512,-0.5036574627034937,-0.7927998517331638,0.5783618638743673,-1.0220648183467507,-0.6564248231470653,-0.7430380805575527,-0.24340418368374037,-0.8480055156754752,-0.03529615447763884,0,0,0,1,0,0,1,0,1,1
8,2013,1,166,3,6,-0.04310764946846805,8,-1.0650548241198332,-1.1760184048182307,-0.8333453599093799,-1.0487524174303693,-1.2805229064394859,-0.6568081814744041,-1.077327806874675,-0.5319946952923486,-0.5770173155690904,-0.9901438305753484,-1.2157290748157317,-0.7210030394514781,-0.9590986298572598,-0.7814374044878909,-0.8350915074787126,-1.240787593837502,-0.8599648786517444,-0.7115269697201272,-0.8042956185155654,-0.3221358413234585,-0.14822865611368635,-0.10154070571043255,-0.13323893654733623,0.9605383339354688,-0.7820598451773535,-0.45852209345853906,-1.1044844824787459,-1.202348542362721,-1.1344532347618308,-0.614362858144354,-1.070118891007918,-1.281946461038519,-1.1155690518940504,-0.31107132029452006,-0.9753537511748568,-0.5201416192228739,-0.6411721633180621,-0.7876926340873848,-0.9420694063319544,-1.2408036835922005,-1.173691517391803,-0.31903211124276915,-1.078306851061288,-0.791487172849438,-1.0568363412830355,-0.03846418917218647,-0.8935797220820356,-0.6750649398637178,-0.8042360767138749,-0.36558000611967023,-0.2886326872480911,-0.117001185344199,-0.1232334928543667,-0.09828072501277227,-0.12172424471906874,-1.3091751883082252,-0.2211020067031693,-1.1315965326353243,-0.8487659226236137,-1.166534906554487,-0.6285384853392668,-1.1313309321330163,-0.8220866860087503,-1.2811325151616726,-0.376934307371601,-1.1312108812936865,-0.8810126793365056,-0.5211697628481521,-0.45274531520465205,-1.0628816435907347,-0.8262627937828237,-1.2951419847389394,-0.7516211381028781,-0.9736151744771168,-0.9262051315695295,-0.8509908953545638,-0.820300879180594,3,2,-0.02125753013453996,112,-0.1378271795310202,-0.5537751788959765,-0.9362689771240782,-0.9209958794477093,-0.9482994446460058,-0.9551046332753101,-0.1337203266840843,-0.9906108020706323,-0.8547963450136598,-0.9484773948521904,-0.8255269220190743,-0.7517985392294512,-0.8333757274025771,-0.7927998517331638,-0.09609766124080943,-1.0220648183467507,-0.8266782188772839,-0.7430380805575527,-0.15550386268690336,-0.8480055156754752,-0.397532769235621,0,0,0,1,0,0,1,0,1,1
9,2013,1,168,3,4,-1.0439872698582826,3,-1.1509671854256986,-0.911402817433471,-0.919776483335411,-1.143927629863638,-1.5115339940223167,-1.2460011941302453,-1.223905971594008,-0.716410247193207,-0.5922987963498401,-1.0349825505573285,-1.4424863138946071,-1.3641389495146623,-1.094356856517362,-1.2022818099393782,-0.9267181510487932,-1.240787593837502,-0.8963605894317956,-0.9973581112832346,-0.8042956185155654,-0.3221358413234585,-0.14822865611368635,-0.10154070571043255,-0.13323893654733623,-0.9360085733103264,-0.7820598451773535,-1.02008498396837,-1.1044844824787459,-0.9280204499875098,-1.1344532347618308,-1.2722763226263407,-1.070118891007918,-1.5154897467310524,-1.1155690518940504,-1.1652280102243295,-0.9753537511748568,-0.6971480727653073,-0.6411721633180621,-1.0139203488315873,-0.9420694063319544,-1.4760863776868391,-1.173691517391803,-1.2565440431258954,-1.078306851061288,-1.22064958100774,-1.0568363412830355,-0.03846418917218647,-0.8935797220820356,-0.8665463254283139,-0.8042360767138749,-0.36558000611967023,-0.2886326872480911,-0.117001185344199,-0.1232334928543667,-0.09828072501277227,-0.12172424471906874,-1.419540242266351,-0.9252772541223446,-1.1398753003483035,-0.9497121777377726,-0.8937585407798929,-0.7171163813271264,-1.1844136211850567,-1.0083987379321702,-1.4796401504662036,-1.0110279699156521,-1.213038927844768,-0.9282198206859883,-0.6996373737257843,-0.4785106555954817,-1.1035192577307646,-0.9253252120352582,-1.4700782381463475,-1.0629774340759557,-1.05928739030353,-1.0050087283538047,-1.1945744907298088,-0.8578523691856995,1,1,0.9855858773107632,50,0.2909137393530487,-0.9950794887766269,-1.0371298288640236,-0.9209958794477093,-1.0102245317360075,-0.9551046332753101,0.8711508271689742,-0.9906108020706323,-0.9081823934379034,-0.9484773948521904,-0.9136910485901443,-0.7517985392294512,-0.8883287715190911,-0.7927998517331638,0.9155916264319555,-1.0220648183467507,-0.8794567715536517,-0.7430380805575527,0.2620341992536328,-0.8480055156754752,-1.1220059983471538,0,0,0,1,0,0,1,1,0,0
